,sound_index,subject_index,naturalness,sound_filename,snr,sound_background,sound_foreground,model
161,179,7,1,snrN5_noiseAudScene_fg298.wav,-5,noiseAudScene,fg298,wavenet_waveform
162,179,32,1,snrN5_noiseAudScene_fg298.wav,-5,noiseAudScene,fg298,wavenet_waveform
163,182,22,2,snrN5_noiseAudScene_fg327.wav,-5,noiseAudScene,fg327,wavenet_waveform
164,185,21,3,snrN5_noiseAudScene_fg364.wav,-5,noiseAudScene,fg364,wavenet_waveform
165,185,34,2,snrN5_noiseAudScene_fg364.wav,-5,noiseAudScene,fg364,wavenet_waveform
166,186,14,4,snrN5_noiseAudScene_fg365.wav,-5,noiseAudScene,fg365,wavenet_waveform
167,187,15,1,snrN5_noiseAudScene_fg392.wav,-5,noiseAudScene,fg392,wavenet_waveform
168,189,10,3,snrN5_noiseAudScene_fg428.wav,-5,noiseAudScene,fg428,wavenet_waveform
169,190,6,3,snrN5_noiseAudScene_fg451.wav,-5,noiseAudScene,fg451,wavenet_waveform
170,192,3,3,snrN5_noiseAudScene_fg485.wav,-5,noiseAudScene,fg485,wavenet_waveform
171,192,27,3,snrN5_noiseAudScene_fg485.wav,-5,noiseAudScene,fg485,wavenet_waveform
172,193,20,2,snrN5_noiseAudScene_fg495.wav,-5,noiseAudScene,fg495,wavenet_waveform
173,193,28,2,snrN5_noiseAudScene_fg495.wav,-5,noiseAudScene,fg495,wavenet_waveform
174,194,30,1,snrN5_noiseAudScene_fg522.wav,-5,noiseAudScene,fg522,wavenet_waveform
175,195,29,2,snrN5_noiseAudScene_fg537.wav,-5,noiseAudScene,fg537,wavenet_waveform
176,195,33,2,snrN5_noiseAudScene_fg537.wav,-5,noiseAudScene,fg537,wavenet_waveform
177,196,1,7,snrN5_noiseAudScene_fg556.wav,-5,noiseAudScene,fg556,wavenet_waveform
178,198,16,3,snrN5_noiseAudScene_fg671.wav,-5,noiseAudScene,fg671,wavenet_waveform
179,198,31,2,snrN5_noiseAudScene_fg671.wav,-5,noiseAudScene,fg671,wavenet_waveform
180,200,30,1,snrN5_noiseBabble8Spkr_fg000.wav,-5,noiseBabble8Spkr,fg000,wavenet_waveform
181,202,17,1,snrN5_noiseBabble8Spkr_fg022.wav,-5,noiseBabble8Spkr,fg022,wavenet_waveform
182,203,18,2,snrN5_noiseBabble8Spkr_fg025.wav,-5,noiseBabble8Spkr,fg025,wavenet_waveform
183,204,2,2,snrN5_noiseBabble8Spkr_fg030.wav,-5,noiseBabble8Spkr,fg030,wavenet_waveform
184,204,21,1,snrN5_noiseBabble8Spkr_fg030.wav,-5,noiseBabble8Spkr,fg030,wavenet_waveform
185,207,14,3,snrN5_noiseBabble8Spkr_fg046.wav,-5,noiseBabble8Spkr,fg046,wavenet_waveform
186,208,33,2,snrN5_noiseBabble8Spkr_fg063.wav,-5,noiseBabble8Spkr,fg063,wavenet_waveform
187,210,29,7,snrN5_noiseBabble8Spkr_fg078.wav,-5,noiseBabble8Spkr,fg078,wavenet_waveform
188,212,9,3,snrN5_noiseBabble8Spkr_fg099.wav,-5,noiseBabble8Spkr,fg099,wavenet_waveform
189,213,16,2,snrN5_noiseBabble8Spkr_fg135.wav,-5,noiseBabble8Spkr,fg135,wavenet_waveform
190,214,5,1,snrN5_noiseBabble8Spkr_fg147.wav,-5,noiseBabble8Spkr,fg147,wavenet_waveform
191,214,8,3,snrN5_noiseBabble8Spkr_fg147.wav,-5,noiseBabble8Spkr,fg147,wavenet_waveform
192,216,7,1,snrN5_noiseBabble8Spkr_fg170.wav,-5,noiseBabble8Spkr,fg170,wavenet_waveform
193,216,19,2,snrN5_noiseBabble8Spkr_fg170.wav,-5,noiseBabble8Spkr,fg170,wavenet_waveform
194,216,28,3,snrN5_noiseBabble8Spkr_fg170.wav,-5,noiseBabble8Spkr,fg170,wavenet_waveform
195,218,1,1,snrN5_noiseBabble8Spkr_fg267.wav,-5,noiseBabble8Spkr,fg267,wavenet_waveform
196,219,23,2,snrN5_noiseBabble8Spkr_fg298.wav,-5,noiseBabble8Spkr,fg298,wavenet_waveform
197,220,10,1,snrN5_noiseBabble8Spkr_fg316.wav,-5,noiseBabble8Spkr,fg316,wavenet_waveform
198,221,12,1,snrN5_noiseBabble8Spkr_fg322.wav,-5,noiseBabble8Spkr,fg322,wavenet_waveform
199,221,25,1,snrN5_noiseBabble8Spkr_fg322.wav,-5,noiseBabble8Spkr,fg322,wavenet_waveform
200,221,27,2,snrN5_noiseBabble8Spkr_fg322.wav,-5,noiseBabble8Spkr,fg322,wavenet_waveform
